speaker_idx,audio_idx,sr,n_samples
0,arr_0,22050,79623
0,arr_1,22050,154690
0,arr_2,22050,55985
0,arr_3,22050,46941
0,arr_4,22050,102657
0,arr_5,22050,83927
0,arr_6,22050,61871
0,arr_7,22050,64392
0,arr_8,22050,55523
0,arr_9,22050,68526
0,arr_10,22050,105293
0,arr_11,22050,86504
0,arr_12,22050,61039
0,arr_13,22050,80919
0,arr_14,22050,93651
0,arr_15,22050,55974
0,arr_16,22050,61039
0,arr_17,22050,57049
0,arr_18,22050,68852
0,arr_19,22050,53379
0,arr_20,22050,103777
0,arr_21,22050,48233
0,arr_22,22050,40350
0,arr_23,22050,50825
0,arr_24,22050,73974
0,arr_25,22050,55953
0,arr_26,22050,80803
0,arr_27,22050,65131
0,arr_28,22050,199171
0,arr_29,22050,70334
0,arr_30,22050,154690
0,arr_31,22050,57839
0,arr_32,22050,63471
0,arr_33,22050,62043
0,arr_34,22050,69955
0,arr_35,22050,71953
0,arr_36,22050,71139
0,arr_37,22050,75889
0,arr_38,22050,44328
0,arr_39,22050,139415
0,arr_40,22050,57049
0,arr_41,22050,50889
0,arr_42,22050,168629
0,arr_43,22050,92082
0,arr_44,22050,48233
0,arr_45,22050,97239
0,arr_46,22050,96364
0,arr_47,22050,48577
0,arr_48,22050,113945
0,arr_49,22050,51890
0,arr_50,22050,92469
0,arr_51,22050,87187
0,arr_52,22050,55403
0,arr_53,22050,59522
0,arr_54,22050,43162
0,arr_55,22050,40929
0,arr_56,22050,62451
0,arr_57,22050,41116
0,arr_58,22050,55754
0,arr_59,22050,80027
0,arr_60,22050,55403
0,arr_61,22050,64001
0,arr_62,22050,53989
0,arr_63,22050,84999
0,arr_64,22050,39762
0,arr_65,22050,74193
0,arr_66,22050,77347
0,arr_67,22050,59035
0,arr_68,22050,67867
0,arr_69,22050,81642
0,arr_70,22050,47530
0,arr_71,22050,77977
0,arr_72,22050,40513
0,arr_73,22050,110486
0,arr_74,22050,199171
0,arr_75,22050,49913
0,arr_76,22050,93651
0,arr_77,22050,47022
0,arr_78,22050,150409
0,arr_79,22050,81642
0,arr_80,22050,85789
0,arr_81,22050,58690
0,arr_82,22050,49913
0,arr_83,22050,58030
0,arr_84,22050,74396
0,arr_85,22050,54490
0,arr_86,22050,78248
0,arr_87,22050,74203
0,arr_88,22050,44075
0,arr_89,22050,51680
0,arr_90,22050,104048
0,arr_91,22050,69779
0,arr_92,22050,58480
0,arr_93,22050,111607
0,arr_94,22050,39600
0,arr_95,22050,80295
0,arr_96,22050,86170
0,arr_97,22050,86487
0,arr_98,22050,50541
0,arr_99,22050,65379
0,arr_100,22050,75179
0,arr_101,22050,67867
0,arr_102,22050,55974
0,arr_103,22050,99361
0,arr_104,22050,73258
0,arr_105,22050,87554
0,arr_106,22050,60435
0,arr_107,22050,102657
0,arr_108,22050,59035
0,arr_109,22050,116863
0,arr_110,22050,51081
0,arr_111,22050,64317
0,arr_112,22050,59913
0,arr_113,22050,56347
0,arr_114,22050,83328
0,arr_115,22050,106085
0,arr_116,22050,40513
0,arr_117,22050,117013
0,arr_118,22050,63380
0,arr_119,22050,60435
0,arr_120,22050,55752
0,arr_121,22050,123981
0,arr_122,22050,60789
0,arr_123,22050,47658
0,arr_124,22050,75179
0,arr_125,22050,167319
0,arr_126,22050,64016
0,arr_127,22050,55985
0,arr_128,22050,35783
0,arr_129,22050,108947
0,arr_130,22050,96979
0,arr_131,22050,44670
0,arr_132,22050,68915
0,arr_133,22050,69678
0,arr_134,22050,115043
0,arr_135,22050,35783
0,arr_136,22050,59496
0,arr_137,22050,49667
0,arr_138,22050,124118
0,arr_139,22050,82026
0,arr_140,22050,47658
0,arr_141,22050,39600
0,arr_142,22050,44217
0,arr_143,22050,88397
0,arr_144,22050,88397
0,arr_145,22050,105257
0,arr_146,22050,99936
0,arr_147,22050,43659
0,arr_148,22050,268008
0,arr_149,22050,90436
0,arr_150,22050,77313
0,arr_151,22050,76777
0,arr_152,22050,48577
0,arr_153,22050,75854
0,arr_154,22050,67969
0,arr_155,22050,86013
0,arr_156,22050,75413
0,arr_157,22050,47530
0,arr_158,22050,86683
0,arr_159,22050,84762
0,arr_160,22050,51686
0,arr_161,22050,92836
0,arr_162,22050,64001
0,arr_163,22050,151579
0,arr_164,22050,62333
0,arr_165,22050,81550
0,arr_166,22050,86170
0,arr_167,22050,66806
0,arr_168,22050,60789
0,arr_169,22050,43970
0,arr_170,22050,40292
0,arr_171,22050,80750
0,arr_172,22050,147876
0,arr_173,22050,97269
0,arr_174,22050,80046
0,arr_175,22050,66732
0,arr_176,22050,51680
0,arr_177,22050,125194
0,arr_178,22050,83328
0,arr_179,22050,39762
0,arr_180,22050,96979
0,arr_181,22050,64392
0,arr_182,22050,268008
0,arr_183,22050,67298
0,arr_184,22050,71549
0,arr_185,22050,150409
0,arr_186,22050,92469
0,arr_187,22050,50889
0,arr_188,22050,67298
0,arr_189,22050,103777
0,arr_190,22050,73591
0,arr_191,22050,168629
0,arr_192,22050,61583
0,arr_193,22050,69678
0,arr_194,22050,69995
0,arr_195,22050,113800
0,arr_196,22050,43970
0,arr_197,22050,41116
0,arr_198,22050,52124
0,arr_199,22050,74203
0,arr_200,22050,44217
0,arr_201,22050,86487
0,arr_202,22050,66281
0,arr_203,22050,68915
0,arr_204,22050,77347
0,arr_205,22050,75854
0,arr_206,22050,63899
0,arr_207,22050,73974
0,arr_208,22050,68358
0,arr_209,22050,50488
0,arr_210,22050,61871
0,arr_211,22050,105293
0,arr_212,22050,65131
0,arr_213,22050,81274
0,arr_214,22050,94555
0,arr_215,22050,74173
0,arr_216,22050,76777
0,arr_217,22050,99766
0,arr_218,22050,113945
0,arr_219,22050,111607
0,arr_220,22050,85928
0,arr_221,22050,80750
0,arr_222,22050,80295
0,arr_223,22050,124118
0,arr_224,22050,36436
0,arr_225,22050,70334
0,arr_226,22050,46941
0,arr_227,22050,80919
0,arr_228,22050,104538
0,arr_229,22050,52707
0,arr_230,22050,55523
0,arr_231,22050,77977
0,arr_232,22050,75889
0,arr_233,22050,123981
0,arr_234,22050,93535
0,arr_235,22050,85644
0,arr_236,22050,40647
0,arr_237,22050,69779
0,arr_238,22050,49496
0,arr_239,22050,85928
0,arr_240,22050,85644
0,arr_241,22050,54787
0,arr_242,22050,101136
0,arr_243,22050,66281
0,arr_244,22050,99936
0,arr_245,22050,54490
0,arr_246,22050,51686
0,arr_247,22050,57030
0,arr_248,22050,63145
0,arr_249,22050,105955
0,arr_250,22050,94374
0,arr_251,22050,54787
0,arr_252,22050,47022
0,arr_253,22050,54038
0,arr_254,22050,87286
0,arr_255,22050,51890
0,arr_256,22050,71549
0,arr_257,22050,67969
0,arr_258,22050,117013
0,arr_259,22050,151579
0,arr_260,22050,40292
0,arr_261,22050,80841
0,arr_262,22050,90428
0,arr_263,22050,68749
0,arr_264,22050,49496
0,arr_265,22050,64016
0,arr_266,22050,148504
0,arr_267,22050,85789
0,arr_268,22050,99459
0,arr_269,22050,40647
0,arr_270,22050,73830
0,arr_271,22050,99766
0,arr_272,22050,87999
0,arr_273,22050,95565
0,arr_274,22050,158389
0,arr_275,22050,116863
0,arr_276,22050,121296
0,arr_277,22050,54899
0,arr_278,22050,58690
0,arr_279,22050,67068
0,arr_280,22050,73830
0,arr_281,22050,116515
0,arr_282,22050,108947
0,arr_283,22050,158389
0,arr_284,22050,88344
0,arr_285,22050,68358
0,arr_286,22050,92748
0,arr_287,22050,61380
0,arr_288,22050,61881
0,arr_289,22050,54038
0,arr_290,22050,80841
0,arr_291,22050,64317
0,arr_292,22050,86683
0,arr_293,22050,63133
0,arr_294,22050,61881
0,arr_295,22050,162345
0,arr_296,22050,95133
0,arr_297,22050,80046
0,arr_298,22050,45237
0,arr_299,22050,96242
0,arr_300,22050,66806
0,arr_301,22050,80806
0,arr_302,22050,97269
0,arr_303,22050,88344
0,arr_304,22050,96364
0,arr_305,22050,86013
0,arr_306,22050,61011
0,arr_307,22050,63133
0,arr_308,22050,69995
0,arr_309,22050,71139
0,arr_310,22050,81550
0,arr_311,22050,99950
0,arr_312,22050,55953
0,arr_313,22050,68749
0,arr_314,22050,62451
0,arr_315,22050,113530
0,arr_316,22050,158112
0,arr_317,22050,162345
0,arr_318,22050,44075
0,arr_319,22050,148504
0,arr_320,22050,97239
0,arr_321,22050,61011
0,arr_322,22050,116515
0,arr_323,22050,90103
0,arr_324,22050,79623
0,arr_325,22050,68852
0,arr_326,22050,46917
0,arr_327,22050,68526
0,arr_328,22050,94555
0,arr_329,22050,90592
0,arr_330,22050,93936
0,arr_331,22050,82026
0,arr_332,22050,86848
0,arr_333,22050,61583
0,arr_334,22050,50881
0,arr_335,22050,63145
0,arr_336,22050,80806
0,arr_337,22050,90103
0,arr_338,22050,55754
0,arr_339,22050,36436
0,arr_340,22050,133060
0,arr_341,22050,90436
0,arr_342,22050,50881
0,arr_343,22050,46917
0,arr_344,22050,44670
0,arr_345,22050,52124
0,arr_346,22050,62472
0,arr_347,22050,69603
0,arr_348,22050,73591
0,arr_349,22050,45928
0,arr_350,22050,45237
0,arr_351,22050,59962
0,arr_352,22050,80803
0,arr_353,22050,80027
0,arr_354,22050,104048
0,arr_355,22050,51245
0,arr_356,22050,74396
